Metric,Value
TS Code,000858.SZ
Initial Cash,10000.0
Strategy,MovingAverageStrategy
Returns
Total Cash,25702.69
Total Return,94.40105626903839
Annual Return,39.868127654626285

Drawdown
Max Drawdown,34.75997253261752
Max Moneydown,11725.550000000003
Max Length,314

Sharpe Ratio
Sharpe Ratio,0.3173862818520135

Win Rate
Win Rate,47.368421052631575

Transactions
Date,Amount,Price,Sid,Symbol,Value
2010-08-13 00:00:00,201,29.78,0,,-5985.780000000001
2010-08-20 00:00:00,66,30.25,0,,-1996.5
2011-01-21 00:00:00,-267,33.59,0,,8968.53
2011-03-18 00:00:00,100,32.52,0,,-3252.0000000000005
2011-05-27 00:00:00,94,34.39,0,,-3232.66
2011-06-24 00:00:00,65,34.46,0,,-2239.9
2011-10-28 00:00:00,-259,35.72,0,,9251.48
2011-12-02 00:00:00,90,38.08,0,,-3427.2
2012-03-09 00:00:00,6,35.24,0,,-211.44
2012-03-23 00:00:00,88,37.37,0,,-3288.56
2012-05-11 00:00:00,62,37.02,0,,-2295.2400000000002
2012-05-18 00:00:00,-152,35.98,0,,5468.959999999999
2012-06-15 00:00:00,-94,32.49,0,,3054.0600000000004
2012-07-20 00:00:00,84,38.14,0,,-3203.76
2012-07-27 00:00:00,93,35.45,0,,-3296.8500000000004
2012-09-14 00:00:00,-177,34.75,0,,6150.75
2012-11-09 00:00:00,91,34.45,0,,-3134.9500000000003
2013-01-25 00:00:00,16,27.48,0,,-439.68
2013-05-31 00:00:00,10,24.15,0,,-241.5
2014-02-28 00:00:00,43,15.87,0,,-682.41
2014-03-21 00:00:00,139,17.58,0,,-2443.62
2014-04-04 00:00:00,109,16.56,0,,-1805.04
2014-07-04 00:00:00,-256,17.83,0,,4564.48
2014-10-24 00:00:00,-152,18.06,0,,2745.12
2014-12-12 00:00:00,137,19.55,0,,-2678.35
2014-12-19 00:00:00,132,20.38,0,,-2690.16
2015-04-03 00:00:00,-140,23.19,0,,3246.6000000000004
2015-11-20 00:00:00,-129,25.3,0,,3263.7000000000003
2016-01-08 00:00:00,111,27.38,0,,-3039.18
2016-03-25 00:00:00,4,26.11,0,,-104.44
2016-04-01 00:00:00,108,27.38,0,,-2957.04
2016-10-14 00:00:00,-223,33.47,0,,7463.8099999999995
2016-11-11 00:00:00,100,34.46,0,,-3446.0
2016-11-25 00:00:00,100,34.45,0,,-3445.0000000000005
2017-01-27 00:00:00,-102,37.15,0,,3789.2999999999997
2017-09-22 00:00:00,126,55.15,0,,-6948.9
2017-10-20 00:00:00,-149,61.14,0,,9109.86
2018-02-23 00:00:00,29,77.8,0,,-2256.2
2018-03-16 00:00:00,-104,77.6,0,,8070.4
2018-05-25 00:00:00,63,78.1,0,,-4920.299999999999
2018-06-08 00:00:00,62,78.88,0,,-4890.5599999999995
2018-07-20 00:00:00,49,75.63,0,,-3705.87
2018-08-03 00:00:00,-174,74.24,0,,12917.759999999998
2018-10-26 00:00:00,79,60.22,0,,-4757.38
2018-11-09 00:00:00,130,52.66,0,,-6845.799999999999
2019-01-04 00:00:00,-121,51.6,0,,6243.6
2019-01-18 00:00:00,167,50.5,0,,-8433.5
2019-02-01 00:00:00,-167,56.0,0,,9352.0
2019-02-22 00:00:00,67,67.1,0,,-4495.7
2019-03-01 00:00:00,49,68.66,0,,-3364.3399999999997
2019-06-21 00:00:00,-132,104.96,0,,13854.72
2019-10-25 00:00:00,-13,127.3,0,,1654.8999999999999
2019-12-06 00:00:00,3,127.45,0,,-382.35
2019-12-20 00:00:00,-74,130.22,0,,9636.28
2020-01-24 00:00:00,196,140.55,0,,-27547.800000000003
2020-02-14 00:00:00,-184,119.5,0,,21988.0
2020-05-01 00:00:00,51,132.51,0,,-6758.009999999999
2020-05-08 00:00:00,50,134.5,0,,-6725.0
2020-10-30 00:00:00,-71,230.0,0,,16330.0
2020-11-06 00:00:00,10,247.07,0,,-2470.7
2021-03-19 00:00:00,-30,262.45,0,,7873.5
2021-03-26 00:00:00,-10,260.95,0,,2609.5
2021-05-07 00:00:00,35,282.0,0,,-9870.0
2021-05-28 00:00:00,56,300.0,0,,-16800.0
2021-06-04 00:00:00,-23,315.3,0,,7251.900000000001
2021-07-16 00:00:00,-52,270.0,0,,14040.0
2021-07-30 00:00:00,-16,268.66,0,,4298.56
2021-10-22 00:00:00,41,224.95,0,,-9222.949999999999
2021-11-26 00:00:00,-26,214.0,0,,5564.0
2021-12-17 00:00:00,88,252.0,0,,-22176.0
2022-01-14 00:00:00,3,215.74,0,,-647.22
2022-01-28 00:00:00,-73,216.0,0,,15768.0
2022-02-11 00:00:00,-33,200.0,0,,6600.0
2022-06-17 00:00:00,47,175.19,0,,-8233.93
2022-07-01 00:00:00,46,187.0,0,,-8602.0
2022-07-15 00:00:00,29,190.02,0,,-5510.58
2022-08-19 00:00:00,-68,177.63,0,,12078.84
2022-09-09 00:00:00,-54,160.0,0,,8640.0
2022-12-16 00:00:00,43,182.0,0,,-7826.0
2022-12-23 00:00:00,44,183.5,0,,-8074.0
2022-12-30 00:00:00,30,180.29,0,,-5408.7
2023-03-24 00:00:00,-71,190.0,0,,13490.0
2023-04-21 00:00:00,-46,176.79,0,,8132.339999999999
2023-06-30 00:00:00,47,169.5,0,,-7966.5
2023-07-07 00:00:00,-23,163.27,0,,3755.21
2023-07-21 00:00:00,23,170.5,0,,-3921.5
2023-07-28 00:00:00,-25,169.13,0,,4228.25
2023-08-11 00:00:00,23,178.3,0,,-4100.900000000001
2023-08-18 00:00:00,48,170.0,0,,-8160.0
2023-09-08 00:00:00,-139,161.6,0,,22462.399999999998
2023-12-01 00:00:00,97,152.79,0,,-14820.63
2023-12-15 00:00:00,-18,139.6,0,,2512.7999999999997

